No;Kategori;Nama Alat;Kode / ID Barang;Brand;Model / Spesifikasi;Tahun;Jumlah;Kondisi;Sumber File
Access Point;;;;;;;;;
1;Access Point;Access Point;WTP/TI-01.21;TP-Link;TL-MR3420;;1;Baik;Access_Point_MG_TU.xlsx
2;Access Point;Access Point;WTP/TI-02.18;TP-Link;TL-WA901ND;;1;Baik;Access_Point_MG_TU.xlsx
3;Access Point;Access Point;WTP/TI-02.21;TP-Link;TL-MR3420;;1;Baik;Access_Point_MG_TU.xlsx
4;Access Point;Access Point;WTP/TI-05.21;TP-Link;TL-MR3420;;1;Baik;Access_Point_MG_TU.xlsx
5;Access Point;Access Point;WAP/TI-01.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
6;Access Point;Access Point;WAP/TI-02.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
7;Access Point;Access Point;WAP/TI-03.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
8;Access Point;Access Point;WAP/TI-04.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
9;Access Point;Access Point;WAP/TI-05.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
10;Access Point;Access Point;WAP/TI-06.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
Mikrokontroler;;;;;;;;;
1;Mikrokontroler;Arduino;AR/TI-01.25;Lition;Arduino;2025;1;Baik;Arduino1.xlsx
2;Mikrokontroler;Arduino;AR/TI-02.25;Lition;Arduino;2025;1;Baik;Arduino1.xlsx
3;Mikrokontroler;Arduino;AR/TI-03.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
4;Mikrokontroler;Arduino;AR/TI-04.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
5;Mikrokontroler;Arduino;AR/TI-05.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
6;Mikrokontroler;Arduino;AR/TI-06.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
7;Mikrokontroler;Arduino;AR/TI-07.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
8;Mikrokontroler;Arduino;AR/TI-08.25;;Arduino;2025;1;Baik;Arduino1.xlsx
9;Mikrokontroler;Arduino;AR/TI-09.25;;Arduino;2025;1;Baik;Arduino1.xlsx
10;Mikrokontroler;Arduino;AR/TI-10.25;;Arduino;2025;1;Baik;Arduino1.xlsx
11;Mikrokontroler;Kit Arduino;AR/TI-27.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
12;Mikrokontroler;Kit Arduino;AR/TI-03.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
13;Mikrokontroler;Kit Arduino;TI-17.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
14;Mikrokontroler;Kit Arduino;AR/TI-04.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
15;Mikrokontroler;Kit Arduino;AR/TI-14.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
16;Mikrokontroler;Kit Arduino;TI-11.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
17;Mikrokontroler;Kit Arduino;AR/T1-05.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
18;Mikrokontroler;Kit Arduino;AZR/TI-31.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
19;Mikrokontroler;Kit Arduino;TI/02.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
20;Mikrokontroler;Kit Arduino;TI/03.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
21;Mikrokontroler;Kit Arduino;TI/08.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
22;Mikrokontroler;Kit Arduino;AR/TI-01.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
23;Mikrokontroler;Kit Arduino;AR/TI-11.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
24;Mikrokontroler;Kit Arduino;AR/TI-10.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
25;Mikrokontroler;Kit Arduino;AR/TI-18.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
26;Mikrokontroler;Kit Arduino;AR/TI-20.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
27;Mikrokontroler;Raspberry Pi;RBI/TI-01.24;;Raspberry Pi;2024;1;Baik / Lengkap;Data_Raspberry.xlsx
28;Mikrokontroler;Raspberry Pi;RBI/TI-02.24;;Raspberry Pi;2024;1;Baik / Lengkap;Data_Raspberry.xlsx
29;Mikrokontroler;Raspberry Pi;RBI/TI-03.24;;Raspberry Pi;2024;1;Baik / Lengkap;Data_Raspberry.xlsx
30;Mikrokontroler;Raspberry Pi;RBI/TI-04.24;;Raspberry Pi;2024;1;Baik / Lengkap;Data_Raspberry.xlsx
31;Mikrokontroler;Raspberry Pi;RBI/TI-05.24;;Raspberry Pi;2024;1;Baik (Kabel Adapter tidak ada);Data_Raspberry.xlsx
32;Mikrokontroler;Raspberry Pi;-;;Raspberry Pi;;1;Raspberry tidak ada, Kabel tidak ada;Data_Raspberry.xlsx
33;Mikrokontroler;Raspberry Pi;-;;Raspberry Pi;;1;Raspberry tidak ada;Data_Raspberry.xlsx
34;Mikrokontroler;Raspberry Pi;RBI/TI-08.24;;Raspberry Pi;2024;1;Baik (Kabel tidak ada);Data_Raspberry.xlsx
35;Mikrokontroler;Raspberry Pi;RBI/TI-09.24;;Raspberry Pi;2024;1;Baik / Lengkap;Data_Raspberry.xlsx
36;Mikrokontroler;Raspberry Pi;-;;Raspberry Pi;;1;Raspberry tidak ada;Data_Raspberry.xlsx
37;Mikrokontroler;Raspberry Pi;RBI/TI-11.24;;Raspberry Pi;2024;1;Baik (HDMI tidak ada);Data_Raspberry.xlsx
38;Mikrokontroler;Raspberry Pi;-;;Raspberry Pi;;1;Raspberry tidak ada;Data_Raspberry.xlsx
39;Mikrokontroler;Raspberry Pi;RBI/TI-13.24;;Raspberry Pi;2024;1;Baik (Kabel Adapter, HDMI, Kabel tidak ada);Data_Raspberry.xlsx
Jaringan;;;;;;;;;
1;Jaringan;Router;M/TI-02.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
2;Jaringan;Router;M/TI-03.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
3;Jaringan;Router;M/TI-04.21;Mikrotik;RB941;2021;1;Tidak Ada;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
4;Jaringan;Router;M/TI-0521;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
5;Jaringan;Router;M/TI-06.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
6;Jaringan;Router;M/TI-07.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
7;Jaringan;Router;M/TI-08.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
8;Jaringan;Router;M/TI-09.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
9;Jaringan;Router;M/TI-10.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
10;Jaringan;Router;M/TI-11.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
11;Jaringan;Router;M/TI-12.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
12;Jaringan;Router;M/TI-13.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
13;Jaringan;Router;M/TI-15.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
14;Jaringan;Router;M/TI-17.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
15;Jaringan;Router;M/TI-18.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
16;Jaringan;Router;M/TI-20.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
17;Jaringan;Router;ROUTER A;Mikrotik;RB750;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
18;Jaringan;Router;ROUTER B;Mikrotik;RB750;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
19;Jaringan;Router;ROUTER C;Mikrotik;RB750;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
20;Jaringan;Router;M/TI-01.21;Mikrotik;RB941;2021;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
21;Jaringan;Router;M/TI-19.21;Mikrotik;RB941;2021;1;Tidak Ada;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
22;Jaringan;Router;;Cisco;Cisco C891F;2020;1;;Data_Lab_SB_II_2026.xlsx
23;Jaringan;Router;C.TI-06;Cisco;Cisco 2511 XM;;1;;Data_Lab_SB_II_2026.xlsx
24;Jaringan;Router;M/TI-01.25;Mikrotik;HGW0A3ZSF2Z/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
25;Jaringan;Router;M/TI-05.25;Mikrotik;HGW0A40JSZ7/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
26;Jaringan;Router;M/TI-06.25;Mikrotik;HGW0A9B0E3R/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
27;Jaringan;Router;M/TI-07.25;Mikrotik;HGW0A5W6G4W/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
28;Jaringan;Router;M/TI-08.25;Mikrotik;HGW0A445QGP/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
29;Jaringan;Router;M/TI-09.25;Mikrotik;HGW0AF6X0ZW/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
30;Jaringan;Router;M/TI-10.25;Mikrotik;HGW0A3EC52H/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
31;Jaringan;Router;M/TI-11.25;Mikrotik;HGW0A5FZ460/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
32;Jaringan;Router;M/TI-12.25;Mikrotik;HGW0A5BGP3W/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
33;Jaringan;Router;M/TI-13.25;Mikrotik;HGW0A30A0JC/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
34;Jaringan;Router;M/TI-14.25;Mikrotik;HGW0ACGJXWB/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
35;Jaringan;Router;M/TI-15.25;Mikrotik;HGW0A1A56R7/R3;2025;1;;Data_Lab_SB_II_2026.xlsx
36;Jaringan;Router;M/TI-02.21;Mikrotik;D0550BC86DD8/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
37;Jaringan;Router;M/TI-03.21;Mikrotik;D0550B8A5FD0/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
38;Jaringan;Router;M/TI-06.21;Mikrotik;D0550B69837*/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
39;Jaringan;Router;M/TI-07.21;Mikrotik;D0550B051460/044/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
40;Jaringan;Router;M/TI-08.21;Mikrotik;D0550B59C049/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
41;Jaringan;Router;M/TI-09.21;Mikrotik;D0550B246F04/004/R4;2021;1;;Data_Lab_SB_II_2026.xlsx
42;Jaringan;Router;M/TI-10.21;Mikrotik;D0550BA63E2D/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
43;Jaringan;Router;M/TI-11.21;Mikrotik;D0550B03FF38/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
44;Jaringan;Router;M/TI-12.21;Mikrotik;D0550BED2D60/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
45;Jaringan;Router;M/TI-13.21;Mikrotik;D0550BE5235A/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
46;Jaringan;Router;M/TI-15.21;Mikrotik;D0550BBF5B3/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
47;Jaringan;Router;M/TI-17.21;Mikrotik;D0550BE4FF7E/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
48;Jaringan;Router;M/TI-18.21;Mikrotik;D0550B5FA921/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
49;Jaringan;Router;M/TI-20.21;Mikrotik;D0550B9DF824/004/R3;2021;1;;Data_Lab_SB_II_2026.xlsx
50;Jaringan;Switch;ROUTER 1;Mikrotik;Cloud Switch;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
51;Jaringan;Switch;ROUTER 2;Mikrotik;Cloud Switch;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
52;Jaringan;Switch;ROUTER 3;Mikrotik;Cloud Switch;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
53;Jaringan;Switch;ROUTER 4;Mikrotik;Cloud Switch;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
54;Jaringan;Switch;ROUTER 5;Mikrotik;Cloud Switch;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
55;Jaringan;Switch;ROUTER 6;Mikrotik;Cloud Switch;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
56;Jaringan;Switch;SWH/TI-01.2016;HP;HP 2510-14 Switch;2016;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
57;Jaringan;Switch;SWH/TI-01.2017;HP;;2017;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
58;Jaringan;Switch;C.TI-06;Cisco;CISCO 2600 SERIES;;1;Lengkap;DATA_INVENTARIS_LEMARI_JARKOM.xlsx
59;Jaringan;Switch;;Cisco;CISCO 800 SERIES;;1;Lengkap (Tidak Ada Kode Alat);DATA_INVENTARIS_LEMARI_JARKOM.xlsx
60;Jaringan;Switch;;;COMPEX TP1016c;;1;Lengkap (Tidak Ada Kode Alat);DATA_INVENTARIS_LEMARI_JARKOM.xlsx
61;Jaringan;Switch;SWD/TI-04.24;D-Link;DES-1016A;2024;1;Baik;Data_Lab_SB_II_2026.xlsx
62;Jaringan;Switch;M.TI/01-19;Mikrotik;CRS125-246-15-2HND-IN;2019;1;;Data_Lab_SB_II_2026.xlsx
63;Jaringan;Switch;M.TI/02-19;Mikrotik;CRS125-246-15-2HND-IN;2019;1;;Data_Lab_SB_II_2026.xlsx
64;Jaringan;Switch;M.TI/03-19;Mikrotik;CRS125-246-15-2HND-IN;2019;1;;Data_Lab_SB_II_2026.xlsx
65;Jaringan;Switch;SWH/TI-01.2016;HP;HP 2510-14 Switch;2016;1;;Data_Lab_SB_II_2026.xlsx
66;Jaringan;Switch;SWH/TI-02.2016;HP;HP 2510-14 Switch;2016;1;;Data_Lab_SB_II_2026.xlsx
67;Jaringan;Switch;;Ruckus;ICX 7150-24;;1;;Data_Lab_SB_II_2026.xlsx
68;Jaringan;Switch;TI.G/R-01.23;Ruckus;ICX 7250-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
69;Jaringan;Switch;TI/S.R-01.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
70;Jaringan;Switch;TI/S.R-02.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
71;Jaringan;Switch;TI/S.R-03.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
72;Jaringan;Switch;TI/S.R-04.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
73;Jaringan;Switch;TI/S.R-05.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
74;Jaringan;Switch;TI/S.R-06.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
75;Jaringan;Switch;TI/S.R-07.23;Ruckus;ICX 7150-24;2023;1;Baik;Data_Lab_SB_II_2026.xlsx
76;Jaringan;Switch;;Ruckus;ICX 7150-24;;1;Baik;Data_Lab_SB_II_2026.xlsx
77;Jaringan;Switch;;Ruckus;ICX 7150-24;;1;Baik;Data_Lab_SB_II_2026.xlsx
78;Jaringan;Switch;;Ruckus;ICX 7150-24;;1;Baik;Data_Lab_SB_II_2026.xlsx
79;Jaringan;Switch;;Ruckus;ICX 7150-24;;1;Baik;Data_Lab_SB_II_2026.xlsx
80;Jaringan;Switch;;Ruckus;ICX 7250-24;;1;Baik;Data_Lab_SB_II_2026.xlsx
Komputer;;;;;;;;;
1;Komputer;CPU / PC;K/D-01.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
2;Komputer;CPU / PC;K/D-02.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
3;Komputer;CPU / PC;K/D-03.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
4;Komputer;CPU / PC;K/D-04.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
5;Komputer;CPU / PC;K/D-05.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
6;Komputer;CPU / PC;K/D-06.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
7;Komputer;CPU / PC;K/D-07.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
8;Komputer;CPU / PC;K/D-08.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
9;Komputer;CPU / PC;K/D-09.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
10;Komputer;CPU / PC;K/D-10.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
11;Komputer;CPU / PC;K/D-11.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
12;Komputer;CPU / PC;K/D-12.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Adapter Monitor Rusak;Data_Lab_SB_II_2026.xlsx
13;Komputer;CPU / PC;K/D-13.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
14;Komputer;CPU / PC;K/D-14.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
15;Komputer;CPU / PC;K/D-15.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
16;Komputer;CPU / PC;K/D-16.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
17;Komputer;CPU / PC;K/D-17.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
18;Komputer;CPU / PC;K/D-18.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
19;Komputer;CPU / PC;K/D-19.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
20;Komputer;CPU / PC;K/D-20.25;DAC;Intel i7 | 512GB | 16GB | RTX 3050;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
21;Komputer;Server;Server 01;DELL;DELLMC;;1;Baik;Data_Lab_SB_II_2026.xlsx
22;Komputer;Server;Server 02;DELL;DELLMC;;1;Baik;Data_Lab_SB_II_2026.xlsx
23;Komputer;Monitor / LCD;K/D-01.25;DAC / Asus;LCD Full HD 2.8;2025;1;Baik;Data_Lab_SB_II_2026.xlsx
24;Komputer;Monitor / LCD;421;Asus;LCD Full HD 2.8;2023;1;;Data_Lab_SB_II_2026.xlsx
25;Komputer;Monitor / LCD;414;Asus;LCD Full HD 2.8;2023;1;;Data_Lab_SB_II_2026.xlsx
26;Komputer;Monitor / LCD;416;Asus;LCD Full HD 2.8;2023;1;;Data_Lab_SB_II_2026.xlsx
27;Komputer;Monitor / LCD;415;Asus;LCD Full HD 2.8;2023;1;;Data_Lab_SB_II_2026.xlsx
28;Komputer;Monitor / LCD;413;Asus;LCD Full HD 2.8;2023;1;;Data_Lab_SB_II_2026.xlsx
29;Komputer;Monitor / LCD;;Asus;LCD Full HD 2.8;2025;6;;Data_Lab_SB_II_2026.xlsx
30;Komputer;Monitor / LCD;524;Acer;LCD Full HD 2.5;2024;1;;Data_Lab_SB_II_2026.xlsx
